,target,feature,weight,value
0,Adoption,Days_to_Outcome,0.8845398063477745,0.5892739563169921
1,Adoption,Age_upon_Intake,0.8355546628558842,-0.6988071980700409
2,Adoption, Neutered,0.3430908811139684,1.0
3,Adoption,Age_upon_Outcome,0.2977521157200975,-0.6820268019871176
4,Adoption, Semi-Longhair,0.12063440473313261,1.0
5,Adoption, Multicolored,0.10886758574661771,0.0
6,Adoption, October,0.08667756651891972,0.0
7,Adoption, Multigroup,0.0742390345042431,0.0
8,Adoption, 2014,0.043234603587135816,0.0
9,Adoption, Stray,0.04096271747059708,1.0
10,Adoption, February,0.04061828754017972,0.0
11,Adoption, Black,0.022488076697718535,0.0
12,Adoption, March,0.02086616480960327,0.0
13,Adoption, Named,0.014895605574017241,1.0
14,Adoption, July,0.014500545440104434,0.0
15,Adoption, May,0.010360697131468257,0.0
16,Adoption, Sick,0.007183694578079928,0.0
17,Adoption, Owner Surrender,0.00670742339019022,0.0
18,Adoption, April,0.006281562756095347,0.0
19,Adoption, Public Assist,0.005952179775315255,0.0
20,Adoption, Injured,0.0052573816294162815,0.0
21,Adoption, Chocolate,0.003105321327472975,0.0
22,Adoption, 2008,0.0029330507216733695,0.0
23,Adoption, Working,0.0028877060536653745,0.0
24,Adoption, 2012,0.0027370375197112457,0.0
25,Adoption, Inside Jurisdiction,0.0026294924532265893,1.0
26,Adoption, Foundation Stock Service,0.0021969080615609786,0.0
27,Adoption, 2011,0.0021859935592829136,0.0
28,Adoption, 2009,0.002156714260101104,0.0
29,Adoption, 2004,0.0016898423236398187,0.0
30,Adoption, Fawn,0.0016617282557676461,0.0
31,Adoption, Adult Dog,0.001641765123578766,0.0
32,Adoption, 2010,0.0015853650873262916,0.0
33,Adoption, Normal,0.0014043114390024833,1.0
34,Adoption, Tortie,0.001211425914327542,0.0
35,Adoption, 2005,0.0011341158586076028,0.0
36,Adoption, 2007,0.0006888191380229629,0.0
37,Adoption, Non-Sporting,0.0006612430956786024,0.0
38,Adoption, Intact,0.0006453239196292488,0.0
39,Adoption, Euthanasia Request,0.0005703339903122649,0.0
40,Adoption, 2001,0.0004767611438442275,0.0
41,Adoption, Terrier,0.00042220612262288467,0.0
42,Adoption, Unknown,0.00014539868115777627,0.0
43,Adoption, 2006,9.816478811306984e-05,0.0
44,Adoption, Miscellaneous,5.5002223505265713e-05,0.0
45,Adoption, 1999,2.1070993267423998e-05,0.0
46,Adoption, 1998,-2.488416932347027e-05,0.0
